Name:,unnamed,L1 Size:,32,L2 Size:,2048,L3 Size:,107520,,L1,L1,L2,L2,L3,L3,DRAM,DRAM,FP,FP,FP FMA,FP_FMA
Date,ISA,Precision,Threads,Loads,Stores,Interleaved,DRAM Bytes,FP Inst.,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,Gflop/s,I/Cycle,Gflop/s,I/Cycle
2025-06-19 18:12:35,avx512,dp,56,4,1,No,524288,add,25104.2235,131.552,4866.8644,25.5035,6084.7754,31.8856,190.6498,0.9998,2575.6945,107.9779,4025.5646,84.3796
2025-06-19 18:25:55,avx2,dp,56,4,1,No,524288,add,16689.5152,174.588,5010.088,52.4102,5204.0725,54.4395,143.2739,1.4988,1332.877,111.5451,2647.9497,110.8001
2025-06-19 18:39:18,sse,dp,56,4,1,No,524288,add,8943.6618,187.3278,2583.2092,54.1061,2223.7173,46.5765,106.9508,2.2376,667.2257,111.802,1326.9178,111.1708
2025-06-19 18:52:01,scalar,dp,56,4,1,No,524288,add,4673.1213,196.2711,2049.9208,86.0967,1996.0661,83.8348,94.6981,3.964,333.5593,112.0759,664.7168,111.6724
2025-06-19 19:04:36,avx512,dp,56,3,1,No,524288,add,27399.5769,143.5802,4710.4588,24.6839,4971.3582,26.0511,162.2384,0.8505,2577.865,108.0689,4427.7673,92.8101
2025-06-19 19:16:33,avx2,dp,56,3,1,No,524288,add,18328.267,191.8024,3916.9282,40.99,4007.5115,41.938,99.1988,1.0381,1334.3844,111.713,2668.3959,111.6974
2025-06-19 19:30:01,sse,dp,56,3,1,No,524288,add,9372.2297,196.0846,2196.221,45.9491,2050.5577,42.9015,94.7532,1.9817,668.0507,111.815,1327.5028,111.0954
2025-06-19 19:43:06,scalar,dp,56,3,1,No,524288,add,4931.832,206.4434,2047.8318,85.721,2008.343,84.068,95.158,3.9818,333.8099,111.7846,663.207,111.0457
2025-06-19 19:55:24,avx512,dp,56,2,1,No,524288,add,28775.6706,150.7913,4601.2851,24.1118,4639.8633,24.314,177.086,0.9276,2574.1908,107.9149,4426.6548,92.7868
2025-06-19 20:07:16,avx2,dp,56,2,1,No,524288,add,16033.4135,167.7245,3745.1781,39.1781,3747.5511,39.2029,116.8666,1.2225,1334.327,111.6665,2667.1509,111.6036
2025-06-19 20:20:35,sse,dp,56,2,1,No,524288,add,10677.1265,223.3021,2168.4359,45.3508,2050.1071,42.8761,94.8133,1.9844,667.5559,111.6904,1326.3647,110.9587
2025-06-19 20:34:00,scalar,dp,56,2,1,No,524288,add,5596.1308,234.4254,2156.0889,90.3199,1968.9747,82.4816,95.4393,3.992,334.1144,111.9701,664.0778,111.2745
2025-06-19 20:45:41,avx512,dp,56,1,0,No,524288,add,21131.4286,110.6924,6880.4168,36.0416,7404.748,38.7881,237.9464,1.2474,2574.0029,107.8668,4429.5476,92.8129
2025-06-19 20:57:43,avx2,dp,56,1,0,No,524288,add,13867.8396,145.1248,6361.2863,66.5699,6547.735,68.521,238.7366,2.4965,1331.4018,111.4633,2647.8774,110.8385
2025-06-19 21:11:25,sse,dp,56,1,0,No,524288,add,7011.6446,146.9158,4140.5965,86.7584,2724.5816,57.0885,238.0035,4.9813,667.3929,111.8717,1326.1406,111.1471
2025-06-19 21:24:18,scalar,dp,56,1,0,No,524288,add,3730.332,156.0911,2575.5342,107.77,2091.8467,87.5307,236.4119,9.8924,334.1199,111.8466,668.2739,111.8523
2025-06-19 21:37:09,avx512,dp,56,3,1,No,524288,add,27379.6548,143.3154,4730.5651,24.7615,4936.056,25.8372,162.0535,0.8492,2577.368,107.9273,3896.4684,81.5823
2025-06-19 21:49:02,avx2,dp,56,3,1,No,524288,add,18309.8074,191.7523,3984.4793,41.7281,3981.9528,41.7016,99.3507,1.0389,1333.8636,111.7528,2668.4047,111.7811
2025-06-19 22:02:16,sse,dp,56,3,1,No,524288,add,9364.086,195.9142,2120.1889,44.3583,2098.2662,43.8997,94.8897,1.9845,667.6115,111.7415,1326.161,110.9831
2025-06-19 22:15:26,scalar,dp,56,3,1,No,524288,add,4924.8594,206.4593,2067.8477,86.688,1906.3924,79.9195,95.1772,3.9811,333.6997,111.9145,668.2182,112.0518
2025-06-19 22:28:45,avx512,dp,56,1,1,No,524288,add,21384.0002,112.1407,3161.7826,16.5808,3371.7396,17.6819,142.4028,0.7459,2578.0017,108.1552,3900.538,81.8199
2025-06-19 22:40:46,avx2,dp,56,1,1,No,524288,add,10633.4619,111.236,2661.8305,27.8452,2695.7621,28.2002,95.7335,1.0007,1332.9624,111.5523,2647.7222,110.7906
2025-06-19 22:54:00,sse,dp,56,1,1,No,524288,add,9483.3033,198.4085,2164.0224,45.2754,2098.2732,43.8998,94.8651,1.9848,667.4863,111.7205,1326.0867,110.9769
2025-06-19 23:07:26,scalar,dp,56,1,1,No,524288,add,5171.1136,216.4596,2045.8245,85.6369,1948.05,81.5442,94.9826,3.9759,333.7943,111.7794,668.0533,111.8572
2025-06-19 23:20:23,avx512,dp,56,1,3,No,524288,add,14256.3378,74.7065,2277.4846,11.9346,2722.7372,14.2678,138.3263,0.7249,2575.5332,107.9712,3909.2775,81.9421
2025-06-19 23:33:01,avx2,dp,56,1,3,No,524288,add,10627.9871,111.1787,1536.2649,16.0708,1821.4327,19.0539,94.5806,0.989,1334.2479,111.6599,2648.1949,110.8104
2025-06-19 23:45:52,sse,dp,56,1,3,No,524288,add,5316.9325,111.4479,2094.557,43.9039,2036.3192,42.6832,94.8214,1.9838,667.5559,111.9408,1326.2406,111.197
2025-06-19 23:59:14,scalar,dp,56,1,3,No,524288,add,3496.7328,146.371,1757.3935,73.5634,1778.1817,74.4336,95.4114,3.9924,334.0953,111.8802,668.109,111.8665
2025-06-20 00:11:19,avx512,dp,56,0,1,No,524288,add,10691.5141,56.026,2308.7697,12.0985,2345.2922,12.2899,118.7165,0.6219,2575.739,107.9798,3895.1491,81.646
2025-06-20 00:24:30,avx2,dp,56,0,1,No,524288,add,10605.7533,110.9875,2268.7511,23.7421,2349.2451,24.5845,134.217,1.404,1333.5176,111.6404,2648.0741,110.8467
2025-06-20 00:36:56,sse,dp,56,0,1,No,524288,add,5303.6519,111.1281,2237.3767,46.88,1739.222,36.4421,118.7369,2.4842,668.09,111.9886,1327.2122,111.237
2025-06-20 00:49:10,scalar,dp,56,0,1,No,524288,add,2673.0386,111.85,1913.6844,80.0757,1690.1832,70.7236,119.9867,5.0207,333.8155,111.7447,668.3235,111.8606
2025-07-04 13:09:38,scalar,dp,1,2,1,No,524288,add,99.858,4.1972,47.3909,1.9919,11.5503,0.4855,10.2832,0.4322,5.96,2.0041,11.9066,2.0018
2025-07-04 15:21:05,avx512,dp,1,2,1,No,524288,add,520.6341,2.7232,95.986,0.5021,27.8187,0.1455,14.9545,0.07822,47.8084,2.0005,79.6489,1.6664
2025-07-04 15:21:05,avx512,dp,1,2,1,No,524288,add,520.6341,2.7232,130.986,0.5021,27.8187,0.1455,14.9545,0.07822,47.8084,2.0005,79.6489,1.6664
2025-07-04 15:32:46,avx2,dp,1,2,1,No,524288,add,286.9144,3.0003,68.1611,0.7128,27.5967,0.2886,16.4954,0.1725,23.9033,1.9997,47.8056,1.9996
2025-07-04 16:33:49,sse,dp,1,2,1,No,524288,add,190.9052,3.9926,48.5841,1.0161,25.9766,0.5433,15.6157,0.3266,11.9502,1.9994,23.8768,1.9974
